article_id,source_id,source_item_key,source_entry_id,case_ids,title,canonical_url,language,published_date,content_type,discovery_status,selection_status,rights_review_id,rights_status,capture_status,boundary_status,pipeline_status,current_stage,last_run_id,machine_review_status,human_review_status,assigned_to,last_checked_at,notes
SRC0003-ART000001,SRC0003,story:id=1564,ENT000002,CASE000002,念佛百日 自在往生,https://plb.tw/tc/story_1_in.aspx?id=1564&cid=129&chk=47a1434e-cc68-45de-bcac-0a84ae150d8a&param=pn%3d1,zh-Hant,,article,discovered,selected,RR0002,legal_review_required,verified,script_extracted,ready,source_segmentation,,legacy_machine_checked,not_reviewed,,2026-09-18,Check simplified and traditional duplicate relation.
SRC0003-ART000002,SRC0003,story:id=1591,,,481.苦難人生 彌陀不捨,https://plb.tw/tc/story_1_in.aspx?id=1591&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000003,SRC0003,story:id=1586,,,480.鄧友蘭老居士往生事蹟,https://plb.tw/tc/story_1_in.aspx?id=1586&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000004,SRC0003,story:id=1578,,,479.遇車禍過世 母親最終往生淨土,https://plb.tw/tc/story_1_in.aspx?id=1578&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000005,SRC0003,story:id=1575,,,478.老鼠菩薩示現記,https://plb.tw/tc/story_1_in.aspx?id=1575&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000006,SRC0003,story:id=1572,,,477.阿嬤的念佛往生大法──簡單方便 人人能做,https://plb.tw/tc/story_1_in.aspx?id=1572&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000007,SRC0003,story:id=1569,,,476.自殺死亡  隔空助念也往生,https://plb.tw/tc/story_1_in.aspx?id=1569&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000008,SRC0003,story:id=1567,,,475.淨願居士往生紀實,https://plb.tw/tc/story_1_in.aspx?id=1567&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000009,SRC0003,story:id=1561,,,473.人人念佛，人人口出金蓮,https://plb.tw/tc/story_1_in.aspx?id=1561&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
SRC0003-ART000010,SRC0003,story:id=1559,,,472.念佛超度宿世亡母,https://plb.tw/tc/story_1_in.aspx?id=1559&cid=129,zh-Hant,,article,discovered,unreviewed,RR0002,pending,not_started,not_started,not_started,,,not_reviewed,not_reviewed,,2026-09-24,
